tract_id,median_income,pct_higher_edu,median_house_value,pct_in_labor_force,pct_owner_occupied,pct_renter_occupied,pct_vacant,pct_white,pct_black,pop_density,total_pop,distance_to_downtown,area_sqkm,compactness
Census Tract 1551,-0.8014188228506746,-0.29164222649099175,-0.3373069531929447,-0.3670839181611209,-0.6344142317718697,0.6344142317718697,-0.15190003371869315,0.9712354947895634,-0.650293524943848,0.15033042114723133,-0.39035465302501465,-1.0435069496589895,-0.21651674212482447,-0.1564285211087092
Census Tract 1571,0.42979048334419273,0.9198516367002654,1.633462480024482,-0.34534434574427203,0.1695826547716999,-0.1695826547716999,-0.11114088228552237,0.46272958665070524,-0.5132714826796363,-0.7534277516801801,-1.1012288021861374,-0.8370410644072557,-0.054592697896020594,-0.25325324823819306
Census Tract 1572,1.5856955667357953,1.5282120839207975,1.6798572568555985,0.8649817769941849,1.2851551819570053,-1.285155181957006,-0.5054385661694446,0.7624719309931006,-0.7241577395475288,-0.7018653454538749,-0.569394517730093,-0.6199648984284313,-0.05651053589184058,2.2397908528322414
Census Tract 1573,1.7728508758554555,1.622529960512374,1.6748143463304772,0.4545445717123302,1.351339587333778,-1.351339587333778,-0.08136717411901027,0.5393899139002416,-0.4046181362669098,-0.7586185618558855,-0.688974648769278,-0.5330262058192672,0.001479736723769238,0.7772507319237829
Census Tract 1574,1.2668683924992716,1.2025724818967003,1.2481841159052103,-0.11010808562679386,1.0996053366810952,-1.0996053366810954,-0.6109520699554194,0.9848115669375882,-0.7646340100882102,-0.7446362253467537,-0.03491757844445333,-0.9091800861067598,0.052548246355948625,0.503518366032335
Census Tract 1601,2.7144852352628166,1.964353986208514,2.7983748113275158,0.9698206348065076,1.3405969501973611,-1.340596950197361,-0.07887043572610124,0.8791201437215248,-0.6933654105012645,-0.8042721738081918,-0.5978030571482419,-0.8151756960925526,0.12096685282908139,1.1994166833631121
Census Tract 1602,2.034684100641563,2.122748495530062,2.0449639788743847,0.621652425243178,1.0152880971585656,-1.0152880971585656,0.14676972397181082,0.6523942978091956,-0.6535497968711748,-0.8194667814248455,0.7823234276078782,-0.6897471391929696,0.44513209169327106,-0.31890880896969276
Census Tract 1611,1.8309500731943735,1.0322040148417548,1.536638597942152,0.8763745082555753,1.1905991449334934,-1.1905991449334932,-0.5284622247806193,0.8602726823563586,-0.6214668392525228,-0.8623677494315068,0.7288096673085743,-0.2325134137123466,0.9583615251241254,0.6568140805657727
Census Tract 1651,-0.2771260661416421,0.07231845030187227,-0.45127673106068733,0.10553269252690287,0.5171256246713528,-0.5171256246713528,-0.7874623657631774,-0.6666449740031738,1.1631753746064462,-0.45118915772692614,-0.05077350742202484,-1.0883210468563689,-0.14486803919397215,-0.17209104837375194
Census Tract 1652,2.288743748611873,2.741701440907579,1.2814673253710112,1.349091905867264,0.4456400059791233,-0.445640005979123,-0.5611930298756213,0.902363666175084,-0.6860072284463496,-0.518479851404826,-1.1223700408228994,-1.1283476179422642,-0.17680345704512893,-0.815459468039835
